day,revenue_hotel,revenue_ota,bookings_direct,bookings_ota,avg_occupancy,inventory_day0,inventory_day1,inventory_day2,inventory_day3,inventory_day4
79,4591.499999999997,595.98,13,43,0.43066666666666664,47,53,40,41,53
80,5870.0999999999985,568.26,30,41,0.43466666666666676,53,40,39,50,62
81,5969.7499999999945,803.88,16,58,0.43799999999999994,40,38,49,61,53
82,6498.044999999995,518.8995,27,51,0.4340000000000001,38,46,58,51,47
83,6488.354999999993,569.772,22,56,0.43666666666666665,44,57,51,47,63
84,5235.039999999997,396.8055,24,39,0.43466666666666665,56,48,46,63,52
85,5487.499999999998,623.6999999999999,22,45,0.44333333333333336,48,45,62,51,51
86,5306.499999999998,540.54,25,39,0.44,45,61,49,50,61
87,4588.699999999999,498.96,20,36,0.4313333333333333,61,48,49,61,58
88,5665.699999999998,609.8399999999999,25,44,0.442,48,49,58,54,39
89,4414.695,284.886,25,28,0.4453333333333333,49,56,53,39,52
90,8242.371599999997,755.8395599999999,20,59,0.44333333333333336,56,53,38,52,45
91,8258.086399999998,678.97452,26,53,0.4573333333333333,52,36,51,44,43
92,10326.999999999993,1111.04,37,64,0.46199999999999997,34,51,41,40,58
93,8740.799999999994,1006.88,28,58,0.45333333333333325,50,40,38,55,39
94,9632.899999999994,1041.6,35,60,0.46,40,37,54,38,46
95,7315.0,1150.1000000000001,22,53,0.46266666666666667,35,51,37,42,52
96,7066.287599999998,550.8661199999999,24,43,0.45600000000000007,51,37,41,49,58
97,7390.901999999998,525.2444399999999,29,41,0.46799999999999997,36,38,46,58,56
98,6948.721199999998,627.7311599999999,18,49,0.462,33,46,58,54,50
99,6415.9,868.0000000000001,25,40,0.45333333333333325,45,57,52,46,47
100,8244.899999999994,1041.6,21,60,0.456,56,51,44,46,55
101,7066.7999999999965,763.8399999999999,25,44,0.46466666666666673,51,44,44,54,43
102,5889.099999999998,642.3199999999999,21,37,0.4686666666666667,44,41,52,41,57
103,7194.395999999998,602.10948,22,47,0.47200000000000003,41,50,41,57,58
104,7394.781599999998,550.8661199999999,28,43,0.4793333333333333,50,41,57,56,50
105,6807.484399999998,538.0552799999999,23,42,0.48933333333333334,41,56,54,49,38
106,5014.799999999998,555.52,17,32,0.4786666666666666,55,52,48,38,46
107,7464.099999999996,850.64,24,49,0.506,52,46,35,44,45
108,7829.299999999996,885.36,26,51,0.516,45,35,43,43,49
109,9961.999999999993,1076.32,36,62,0.5293333333333333,34,41,40,47,43
110,8996.600399999998,768.6504,26,60,0.5266666666666667,40,40,46,42,48
111,6854.994399999998,563.67696,21,44,0.5266666666666666,40,44,40,47,44
112,6553.853999999998,525.2444399999999,22,41,0.5293333333333333,43,39,46,41,45
113,8083.9999999999945,989.52,22,57,0.5273333333333333,39,46,38,43,39
114,5982.099999999998,694.4,19,40,0.526,46,37,42,39,41
115,7402.099999999995,850.64,24,49,0.528,35,41,38,40,38
116,7333.5,1019.9000000000001,28,47,0.5393333333333333,41,36,36,36,49
117,7691.1147999999985,550.8661199999999,30,43,0.548,34,35,34,47,20
118,7165.187199999998,512.4336,28,40,0.5566666666666666,35,31,44,17,41
119,6166.942399999998,499.62275999999997,20,39,0.5466666666666666,30,43,17,40,41
120,7248.555000000004,1117.7775,21,47,0.5419999999999999,43,16,38,40,43
121,8406.674999999996,818.1180000000002,32,43,0.5506666666666667,16,36,39,39,45
122,8885.294999999998,932.2740000000001,30,49,0.5439999999999999,35,37,38,42,41
123,8211.105000000003,1093.995,30,46,0.544,37,35,39,37,53
124,8372.25,652.0500000000001,26,46,0.5373333333333333,34,39,35,51,51
125,8259.75,765.45,17,54,0.538,39,34,51,51,49
126,8336.5,680.4000000000001,24,48,0.5419999999999999,34,50,51,48,31
127,10587.015000000007,1498.2975,35,63,0.5586666666666668,48,49,48,29,35
128,9002.294999999998,932.2740000000001,31,49,0.5726666666666667,49,48,29,32,26
129,9555.659999999998,875.1960000000001,39,46,0.5946666666666667,46,29,25,25,54
130,8060.985000000001,1008.3780000000002,20,53,0.6053333333333334,29,22,25,54,35
131,7325.0,595.35,21,42,0.5986666666666667,21,23,53,33,38
132,10413.25,807.975,33,57,0.5953333333333333,23,51,28,36,28
133,7017.75,552.825,22,39,0.5853333333333334,50,27,36,24,43
134,9174.285000000002,1046.4300000000003,27,55,0.5893333333333334,27,35,24,41,41
135,7547.535000000005,1236.69,19,52,0.5873333333333333,35,24,41,36,32
136,8817.345,989.3520000000002,27,52,0.6053333333333332,24,39,34,32,32
137,10788.525000000005,1498.2975,38,63,0.6093333333333333,39,33,30,32,20
138,6412.75,552.825,16,39,0.6099999999999999,33,30,32,17,38
139,8054.75,637.875,25,45,0.616,29,32,15,37,42
140,8523.0,666.225,26,47,0.616,31,10,35,41,33
141,8905.050000000007,1498.2975,21,63,0.6166666666666667,9,31,39,32,39
142,7428.195000000005,1212.9075,19,51,0.602,29,39,29,38,39
143,9037.125,1027.4040000000002,27,54,0.61,39,26,35,36,44
144,7020.495000000003,1070.2124999999999,21,45,0.6073333333333334,26,34,36,44,42
145,6893.0,567.0,19,40,0.5953333333333334,34,35,44,41,28
146,8104.5,595.35,28,42,0.5946666666666667,35,43,39,27,12
147,9085.25,581.1750000000001,37,41,0.6093333333333334,41,39,26,7,26
148,8602.875,989.3520000000002,25,52,0.6093333333333334,36,26,7,24,35
149,9260.505000000001,1046.4300000000003,28,55,0.6193333333333333,25,6,23,34,38
150,7473.4199999999955,722.9880000000002,29,38,0.6233333333333333,4,18,32,37,35
151,8285.0,427.7,24,47,0.6066666666666668,18,32,37,33,42
152,8402.55,677.2499999999999,25,50,0.598,32,37,32,42,37
153,6514.950000000002,555.3449999999999,18,41,0.6113333333333333,35,31,40,36,23
154,8344.499999999998,636.6149999999999,29,47,0.6186666666666666,31,39,35,19,36
155,7903.5,1092.0,28,48,0.616,39,34,16,33,40
156,8268.5,910.0,27,50,0.6139999999999998,34,13,32,40,48
157,7576.5,800.8,27,44,0.618,12,31,38,47,31
158,8272.0,1228.5,26,54,0.6066666666666666,30,35,44,27,41
159,7423.800000000002,555.3449999999999,25,41,0.6126666666666666,35,44,27,40,28
160,8452.05,636.6149999999999,29,47,0.6233333333333334,42,25,35,28,24
161,9076.049999999996,785.6099999999999,24,58,0.638,24,35,27,23,37
162,9761.0,1433.25,32,63,0.6473333333333334,35,24,21,36,33
163,8543.5,1073.8,21,59,0.6386666666666668,24,21,36,33,14
164,8937.5,910.0,33,50,0.6486666666666667,21,34,30,11,27
165,7734.5,1251.25,20,55,0.6433333333333333,33,28,11,27,42
166,9207.749999999996,744.9749999999999,28,55,0.6413333333333333,28,10,27,42,39
167,9193.199999999997,704.3399999999999,31,52,0.6459999999999998,10,27,39,36,30
168,8064.000000000004,451.50000000000006,20,50,0.6359999999999998,26,39,35,27,38
169,8231.0,1205.75,27,53,0.6373333333333332,39,32,27,37,27
170,8905.0,964.5999999999999,29,53,0.6406666666666667,32,26,36,26,27
171,8907.0,964.5999999999999,30,53,0.6479999999999999,26,36,23,26,23
172,7976.5,1319.5,21,58,0.6466666666666666,35,22,25,22,20
173,6635.850000000001,568.8899999999999,18,42,0.644,21,24,21,19,44
174,6565.500000000003,460.5299999999999,25,34,0.6333333333333334,24,21,16,42,20
175,8118.749999999998,677.2499999999999,23,50,0.6233333333333334,21,15,42,20,28
176,10452.0,1638.0,30,72,0.6246666666666666,14,38,17,25,39
177,8270.5,1137.5,30,50,0.6186666666666665,37,15,24,38,32
178,7277.0,800.8,24,44,0.626,15,24,37,32,25
179,8643.0,1137.5,34,50,0.622,22,35,32,24,22
180,7986.0,636.6149999999999,25,47,0.6066666666666668,35,31,22,19,37
181,9073.537799999996,991.7283599999998,30,54,0.6020000000000001,29,22,16,37,34
182,10909.575649999997,1193.7470999999998,37,65,0.608,22,15,36,30,32
183,10028.564000000008,1485.4754249999999,33,67,0.6106666666666666,13,34,30,31,35
184,9214.805899999998,505.50507000000005,24,57,0.5953333333333332,33,29,31,33,43
185,7034.549050000002,762.69186,24,43,0.594,29,31,30,40,29
186,7760.435100000001,372.47742000000005,26,42,0.592,30,30,39,28,33
187,8444.47425,1175.3817599999998,15,64,0.5966666666666666,27,39,26,31,33
188,7347.515349999995,808.0749599999998,24,44,0.5946666666666667,39,26,30,31,37
189,8081.136649999997,899.9016599999998,26,49,0.6066666666666667,26,28,31,36,30
190,7309.537700000003,851.37696,22,48,0.6013333333333333,26,29,34,30,48
191,7128.107350000002,354.7404,23,40,0.6026666666666667,29,31,30,48,46
192,9953.361250000007,1152.9063,30,65,0.6093333333333334,30,29,48,46,39
193,8395.037350000002,399.08295000000004,29,45,0.608,29,48,43,37,31
194,9719.906849999998,1083.5550599999997,31,59,0.6146666666666667,46,43,37,26,40
195,8022.601349999997,1056.0070499999995,31,46,0.6286666666666666,43,36,25,37,31
196,7507.026250000003,1285.5737999999994,17,56,0.6406666666666666,35,25,35,29,42
197,9101.106400000006,1152.9063,22,65,0.6599999999999999,24,34,27,40,26
198,6574.394100000003,283.79232,26,32,0.6600000000000001,34,26,40,24,18
199,8847.720400000007,1241.5914,16,70,0.664,26,38,24,17,23
200,7745.491300000003,798.1659000000001,28,45,0.6626666666666666,37,22,16,20,42
201,8798.057700000003,1331.4871499999995,27,58,0.6726666666666666,20,16,19,41,21
202,7015.593649999995,826.4402999999999,20,45,0.6626666666666667,16,18,40,19,28
203,7310.750899999997,1010.0936999999996,27,44,0.6586666666666667,18,39,18,26,30
204,7514.845200000003,904.58802,21,51,0.6513333333333333,39,16,24,30,32
205,7496.9785,407.95146,20,46,0.6586666666666667,15,23,30,31,29
206,8657.680900000005,1081.95822,22,61,0.6539999999999999,21,28,29,27,37
207,9920.226550000007,1099.69524,32,62,0.6586666666666666,27,26,22,35,14
208,9353.096199999998,1120.2857399999998,26,61,0.6593333333333333,26,20,33,13,33
209,9934.867049999999,1212.1124399999997,26,66,0.6673333333333334,18,33,12,32,32
210,7674.475549999994,642.7868999999998,35,35,0.6720000000000002,31,10,30,30,39
211,8690.491400000006,975.5361,28,55,0.6793333333333335,7,27,29,36,22
212,9798.95,1702.7500000000002,21,70,0.6713333333333333,26,27,35,18,37
213,9198.099999999995,1011.9200000000001,29,52,0.6746666666666667,27,34,17,35,29
214,9344.699999999993,1011.9200000000001,30,52,0.6800000000000002,33,11,33,25,26
215,10378.804999999997,1314.18,25,70,0.6880000000000001,10,33,21,23,28
216,11722.89,1276.632,39,68,0.6766666666666666,33,20,20,24,31
217,10570.650000000001,1070.118,40,57,0.6813333333333333,19,20,23,26,17
218,11127.699999999993,1459.5,23,75,0.6813333333333332,19,23,26,17,27
219,14296.9,1673.5600000000002,39,86,0.6986666666666665,22,26,17,22,22
220,8652.849999999993,1206.52,15,62,0.6940000000000002,25,16,22,21,11
221,8427.300000000001,379.47,29,39,0.7,15,21,20,9,24
222,9080.099999999999,1163.988,21,62,0.706,20,19,7,22,26
223,10505.154999999999,1182.7620000000002,33,63,0.7006666666666667,18,6,20,26,24
224,10186.935,1220.31,29,65,0.7046666666666667,4,19,25,21,26
225,11027.249999999998,1532.4750000000001,38,63,0.702,18,22,20,25,31
226,11213.049999999992,1342.74,30,69,0.6946666666666665,22,20,23,30,39
227,8940.949999999993,1128.68,21,58,0.6953333333333335,19,22,29,36,39
228,8902.400000000007,535.15,17,55,0.698,22,29,35,38,24
229,10501.559999999996,1389.276,22,74,0.7013333333333333,29,34,37,23,8
230,10623.779999999999,1182.7620000000002,34,63,0.7113333333333334,32,35,21,5,19
231,8947.53,1070.118,25,57,0.706,35,21,2,19,22
232,9376.949999999993,1167.6000000000001,23,60,0.7073333333333333,21,0,17,22,10
233,9711.199999999993,1050.8400000000001,31,54,0.7093333333333333,0,16,22,9,36
234,10032.749999999993,1148.14,29,59,0.7013333333333335,16,20,7,35,17
235,10652.600000000008,574.07,27,59,0.6933333333333334,20,5,35,17,25
236,11230.849999999999,1295.406,33,69,0.6846666666666666,4,33,15,24,33
237,8850.574999999995,1384.5825,26,59,0.6773333333333332,32,14,22,30,26
238,9117.220000000001,1013.796,29,54,0.6859999999999998,14,21,28,24,13
239,8230.199999999995,934.08,24,48,0.6733333333333335,21,28,24,12,24
240,9694.149999999994,1031.38,32,53,0.6726666666666666,27,24,12,24,24
241,10303.799999999992,1342.74,22,69,0.6793333333333333,24,12,23,23,36
242,8613.100000000002,379.47,31,39,0.6726666666666666,12,22,23,35,32
243,7652.249999999998,931.0,21,50,0.6693333333333332,22,22,34,30,24
244,7565.799999999997,949.62,19,51,0.6773333333333333,22,33,29,23,30
245,7881.199999999997,986.86,20,53,0.6693333333333332,32,28,21,30,33
246,6685.25,787.5,20,45,0.6813333333333332,26,18,28,33,43
247,9341.25,402.5,38,46,0.6900000000000001,17,27,31,42,22
248,7901.75,892.5,26,51,0.6833333333333335,27,29,39,18,30
249,7310.75,350.0,26,40,0.6926666666666667,29,39,16,28,27
250,6553.1,800.6600000000001,17,43,0.698,39,15,28,25,18
251,7996.149999999998,949.62,23,51,0.7113333333333334,14,27,24,16,21
252,7003.4,837.9000000000001,20,45,0.7006666666666667,27,23,15,21,36
253,8110.75,927.5,26,53,0.7040000000000001,23,15,21,35,19
254,7930.75,332.5,33,38,0.698,14,21,33,15,9
255,6489.25,752.5,20,43,0.6933333333333334,20,33,13,9,35
256,5924.75,323.75,16,37,0.6826666666666666,33,12,9,33,26
257,5818.750000000001,782.0400000000001,12,42,0.68,10,8,31,26,34
258,7017.65,856.5200000000001,19,46,0.6626666666666667,8,29,25,34,32
259,7045.200000000001,1093.925,21,47,0.6513333333333333,29,23,33,29,17
260,7997.5,875.0,27,50,0.65,20,32,29,17,23
261,9040.5,463.75,28,53,0.65,32,27,17,23,25
262,7467.75,805.0,26,46,0.6586666666666667,25,14,23,22,25
263,7753.0,822.5,28,47,0.6579999999999999,14,23,20,25,33
264,8990.799999999996,1005.48,28,54,0.6579999999999999,23,16,22,32,39
265,7118.349999999999,875.1400000000001,19,47,0.6579999999999999,14,22,32,38,19
266,9180.8,1419.7749999999999,28,61,0.6479999999999999,20,31,38,16,46
267,9235.75,1102.5,27,63,0.6453333333333333,30,36,16,45,33
268,7249.0,323.75,28,37,0.6486666666666667,34,14,44,31,32
269,6613.5,752.5,21,43,0.6453333333333333,14,41,31,30,25
270,7332.25,840.0,23,48,0.6460000000000001,41,30,28,24,36
271,8301.099999999997,968.24,24,52,0.654,29,28,24,35,22
272,7967.649999999998,986.86,21,53,0.6466666666666667,28,24,34,21,21
273,7393.0,1127.0,26,56,0.66,24,33,17,18,30
274,7293.75,756.7,30,47,0.6586666666666667,32,14,17,25,29
275,5616.25,289.8,18,36,0.6759999999999999,14,16,25,28,28
276,5369.0,676.2,15,42,0.6586666666666666,16,24,27,26,41
277,6400.5,370.3,16,46,0.6433333333333333,24,27,26,39,32
278,7411.0,853.3000000000001,26,53,0.6439999999999999,27,26,39,30,29
279,8394.0,982.1000000000001,28,61,0.6499999999999999,25,39,28,27,43
280,6984.75,917.7,18,57,0.6453333333333334,39,26,24,42,16
281,6804.0,805.0000000000001,22,50,0.6493333333333334,25,21,41,15,35
282,5824.25,313.95000000000005,18,39,0.6453333333333333,19,41,15,35,45
283,7122.5,788.9000000000001,26,49,0.6393333333333333,38,15,33,44,21
284,6808.5,853.3000000000001,19,53,0.6519999999999999,15,32,43,21,44
285,5178.75,644.0,15,40,0.638,31,41,19,43,11
286,7833.25,837.2,31,52,0.6433333333333334,40,19,41,9,39
287,7254.5,869.4000000000001,24,54,0.6566666666666667,19,39,8,35,34
288,7313.25,805.0000000000001,27,50,0.6513333333333333,38,7,35,31,25
289,5821.0,692.3000000000001,18,43,0.6679999999999999,6,33,31,22,27
290,7391.75,772.8000000000001,29,48,0.6526666666666666,29,30,19,27,28
291,6030.25,305.90000000000003,21,38,0.6573333333333335,30,18,25,28,45
292,8425.5,949.9000000000001,31,59,0.6653333333333333,17,23,26,43,24
293,8301.0,1110.9,20,69,0.6646666666666667,23,24,42,22,43
294,7238.75,772.8000000000001,29,48,0.6540000000000001,24,42,20,42,13
295,7684.0,853.3000000000001,28,53,0.664,42,17,39,11,36
296,6703.75,483.0,27,40,0.678,17,39,10,36,35
297,7091.75,901.6000000000001,19,56,0.67,39,9,35,32,24
298,6215.25,692.3000000000001,22,43,0.6753333333333332,8,34,32,22,22
299,6892.25,1147.125,20,57,0.67,33,31,22,21,8
300,6748.5,917.7,15,57,0.6726666666666667,30,22,20,8,40
301,7022.0,901.6000000000001,19,56,0.674,21,18,7,38,29
302,7358.25,885.5000000000001,23,55,0.6686666666666667,17,4,37,26,21
303,6413.0,322.0,23,40,0.6546666666666668,4,36,25,20,27
304,3850.25,615.125,15,37,0.6379999999999999,35,25,19,27,44
305,3421.0,548.625,13,33,0.6413333333333333,25,19,26,43,33
306,4264.5,589.68,22,36,0.6340000000000001,19,25,43,31,26
307,4892.519999999999,737.0999999999999,22,45,0.6306666666666667,22,42,31,23,40
308,3836.7,573.3,17,35,0.6313333333333334,41,31,22,40,36
309,3369.75,249.37500000000003,17,25,0.6406666666666667,31,20,39,36,27
310,3060.0,239.40000000000003,14,24,0.6406666666666667,18,39,36,27,27
311,3588.0,279.30000000000007,16,28,0.6246666666666666,39,35,25,26,34
312,3783.75,269.32500000000005,19,27,0.6226666666666667,35,24,25,33,40
313,4212.029999999998,737.0999999999999,13,45,0.6246666666666666,24,24,33,39,35
314,4200.8099999999995,655.1999999999999,18,40,0.6193333333333333,24,33,39,33,28
315,4626.72,638.8199999999999,24,39,0.6166666666666667,33,39,31,28,25
316,3391.75,498.75,15,30,0.616,39,30,26,24,34
317,3813.75,192.85000000000002,16,29,0.6199999999999999,30,26,24,33,38
318,4289.5,698.25,16,42,0.6213333333333334,25,23,31,36,30
319,4678.5,369.07500000000005,21,37,0.6106666666666668,23,31,35,30,30
320,4829.819999999998,687.9599999999999,24,42,0.604,31,32,30,29,33
321,4245.749999999999,622.4399999999999,20,38,0.6006666666666667,31,28,26,33,47
322,3778.68,589.68,16,36,0.592,28,25,33,44,42
323,4375.0,714.875,16,43,0.5886666666666666,25,32,43,41,35
324,4119.25,232.75,14,35,0.5746666666666667,32,42,39,35,38
325,4042.5,349.12500000000006,15,35,0.5726666666666667,41,38,35,38,31
326,3307.75,615.125,8,37,0.5733333333333334,38,34,38,31,39
327,4962.719999999998,769.8599999999999,21,47,0.5773333333333335,34,38,30,34,37
328,4623.899999999998,769.8599999999999,17,47,0.5760000000000001,38,30,32,35,36
329,3149.670000000001,507.78,12,31,0.5746666666666668,30,32,35,32,47
330,4130.5,581.875,20,35,0.572,31,34,31,47,32
331,3751.25,239.40000000000003,22,24,0.5640000000000001,34,30,47,32,43
332,2992.0,259.35,11,26,0.5566666666666666,29,47,32,42,43
333,3749.75,309.225,15,31,0.5406666666666667,45,31,42,41,41
334,2902.2000000000007,144.06000000000003,12,21,0.5466666666666666,30,42,41,41,52
335,3459.5,583.0999999999999,11,34,0.5373333333333334,42,40,40,51,40
336,4050.0000000000014,349.85999999999996,14,34,0.544,40,37,51,38,36
337,3539.415,272.33009999999996,16,27,0.5446666666666666,37,49,38,36,47
338,2285.9309999999996,181.55339999999995,10,18,0.53,49,38,36,47,39
339,3858.864000000001,672.4199999999998,12,40,0.542,38,35,47,38,42
340,3450.905999999999,312.67529999999994,11,31,0.5386666666666666,35,45,36,38,41
341,3678.9,514.5,17,30,0.5333333333333334,44,35,38,41,44
342,2930.3,298.40999999999997,6,29,0.532,35,37,40,42,44
343,2973.2,394.45,15,23,0.5340000000000001,37,40,41,44,57
344,2857.4880000000003,453.8834999999999,11,27,0.5326666666666667,39,41,44,56,31
345,4363.179000000001,655.6094999999999,19,39,0.5319999999999999,40,44,53,29,52
346,4574.511,638.7989999999999,22,38,0.534,43,51,27,52,33
347,3268.0950000000003,470.69399999999996,15,28,0.5326666666666667,51,27,52,30,43
348,2902.2000000000007,137.20000000000002,13,20,0.5346666666666666,27,52,30,43,61
349,2896.1000000000004,377.29999999999995,15,22,0.5206666666666667,52,29,43,61,34
350,2682.8999999999996,195.51,13,19,0.5266666666666666,29,42,61,33,53
351,2960.901,487.50449999999995,10,29,0.5146666666666666,42,60,32,51,48
352,2996.874,420.26249999999993,14,25,0.512,60,31,51,48,45
353,3587.4449999999997,292.50269999999995,15,29,0.514,31,51,47,43,36
354,3923.655000000001,655.6094999999999,14,39,0.5073333333333333,51,46,42,36,31
355,2621.7000000000007,123.48000000000002,12,18,0.504,46,42,36,29,47
356,2942.7,226.38,13,22,0.5026666666666667,42,35,28,47,50
357,2297.0,144.06,13,14,0.49999999999999994,34,27,46,49,50
358,3217.812,521.1254999999999,12,31,0.49133333333333334,27,46,48,50,48
359,3902.0909999999994,322.76159999999993,16,32,0.47400000000000003,45,48,49,46,51
360,3469.920000000001,638.7989999999999,9,38,0.4646666666666668,47,48,46,51,47
361,4312.698,605.1779999999999,21,36,0.47466666666666674,47,45,51,47,45
362,2043.3000000000004,102.90000000000002,8,15,0.4733333333333334,43,49,47,45,50
363,2898.4999999999995,205.79999999999998,14,20,0.46466666666666673,49,47,44,49,62
364,2557.8999999999996,195.51,11,19,0.46266666666666667,46,44,49,62,45
0,1914.6249000000003,111.41613000000001,6,17,0.005333333333333338,100,98,100,98,100
1,3136.0,492.8,13,32,0.014000000000000012,97,100,98,100,100
2,2863.6,523.6,8,34,0.018666666666666682,100,98,99,100,97
3,3712.4,508.2,20,33,0.03333333333333336,97,98,97,96,95
4,2881.0,492.8,10,32,0.038000000000000034,98,96,95,95,95
5,3105.9576,131.07780000000002,17,20,0.04933333333333336,93,94,94,92,95
6,1975.4352,327.6945,7,20,0.0506666666666667,94,94,92,95,96
7,1242.82755,65.53890000000001,5,10,0.05133333333333335,94,92,95,96,97
